# VRP Data - 50 Nodes
# Problem: Waste collection vehicle routing with 50 locations

# Sets
set NODES := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50;
set VEHICLES := A B C;

# Parameters
param depot_node := 1;           # Node 1 is the depot (starting point)
param checkpoint_node := 50;       # Node 50 is the checkpoint (dump point, no waste)

# Distance Matrix (meters)
param distance :
       1      2      3      4      5      6      7      8      9     10
 13    355    325    463    632    675    601    696    330    216    339
      1097   1275      0    166    205    208    297    387    966   1151
      1252   1336    778    882    639    733    834    560    656    476
       574    433    520    251    356    441    614    539    578    668
       877   1103    828   1109    980    923    765    673    640    731
 14    299    268    407    576    618    544    639    698    735    982
      1041   1219    166      0    723    170    435    905   1131   1316
      1417   1501    830    934    692    786    887    612    709    529
       721    267    353     85    189    274    448    373    717    720
       929   1154    880   1160   1031    974    816    724    474    564
 15    505    547    685    670    364    179     84    228    127    249
       786    964    205    723      0    171     92    182    586    624
       626    711    573    677    434    528    629    355    451    271
       369    261    356    443    435    520    454    718    373    463
       672    898    622    904    775    718    560    468    723    814
 16    469    438    577    746    535    350    255    399    298    420
       957   1135    208    170    171      0    182    272    677    714
       716    801    663    767    524    619    719    445    541    361
       460    345    432    163    267    353    526    451    464    553
       762    988    713    994    866    808    650    558    552    643
 17    597    639    777    762    456    271    176    320    219    341
       878   1056    297    435     92    182      0    193    494    532
       534    619    481    585    342    436    537    263    359    179
       277    169    264    351    343    428    362    626    281    371
       580    806    530    812    683    626    468    376    631    722
 18    687    729    867    851    546    361    266    419    391    268
       327    533    387    905    182    272    193      0    221    436
       438    523    385    489    246    340    441    421    518    372
       470    362    457    544    537    622    555    819    475    506
       484    625    435    719    591    533    595    569    824    915
 19    912    954   1093   1077    771    697    792    420    392    269
       279    135    966   1131    586    677    494    221      0    133
       234    319    369    451    247    341    442    422    519    593
       691    583    678    765    757    842    776    940    695    507
       456    421    436    520    543    534    597    790   1042   1132
 20   1097   1139   1277   1262    956    882    977    635    607    484
       241     97   1151   1316    624    714    532    436    133      0
       101    186    235    317    279    374    560    454    551    625
       723    615    710    797    789    874    808   1069    727    539
       322    288    566    386    410    564    626    822   1074   1165
 21   1198   1240   1378   1363   1057    983   1078    637    609    486
       342    198   1252   1417    626    716    534    438    234    101
         0     85    237    216    282    376    459    456    636    627
       725    617    712    799    792    877    892    968    729    624
       221    187    465    285    309    463    525    718    973   1064
 22   1283   1325   1463   1448   1142   1068   1163    722    694    571
       427    283   1336   1501    711    801    619    523    319    186
        85      0    322    132    366    474    374    642    551    712
       630    702    905    884    876    981    807    883    626    539
       137    102    380    200    224    378    440    633    888    979
 23   1076   1118   1257   1241    935    752    657    584    556    433
       477    332    778    830    573    663    481    385    369    235
       237    322      0    471    228    323    423    403    500    574
       672    564    659    746    738    823    757    922    676    488
       466    424    417    523    546    516    578    771   1023   1114
 24   1180   1222   1360   1345   1039    856    761    688    660    537
       559    414    882    934    677    767    585    489    451    317
       216    132    471      0    243    148    148    316    225    591
       492    668    767    850    928    843    669    745    488    213
         5    130    141    228    252    240    302    495    750    841
 25    937    979   1118   1102    796    613    518    445    417    294
       353    376    639    692    434    524    342    246    247    279
       282    366    228    243      0     94    195    175    272    435
       533    425    520    607    600    685    618    792    537    260
       238    467    188    473    345    287    349    632    798    888
 26   1032   1074   1212   1197    891    707    612    540    511    389
       447    471    733    786    528    619    436    340    341    374
       376    474    323    148     94      0    101    168    178    530
       445    519    720    701    694    796    622    698    441    166
       143    373     94    379    250    193    255    448    703    794
 27   1132   1174   1313   1297    991    808    713    640    612    489
       548    656    834    887    629    719    537    441    442    560
       459    374    423    148    195    101      0    268    177    443
       345    620    619    885    781    696    521    597    341    165
       143    272      7    278    150     92    154    348    603    693
 28    859    901   1040   1024    718    534    439    583    592    469
       528    551    560    612    355    445    263    421    422    454
       456    642    403    316    175    168    268      0    345    175
       273    346    260    528    520    605    358    622    277    333
       311    540    262    546    418    361    423    372    627    718
 29    956    998   1136   1120    815    630    535    679    689    566
       625    648    656    709    451    541    359    518    519    551
       636    551    500    225    272    178    177    345      0    180
       174    442    356    624    616    620    258    522    178     12
       220    449    170    455    327    269    331    272    527    618
 30    776    818    956    941    635    450    355    499    398    520
       699    722    476    529    271    361    179    372    593    625
       627    712    574    591    435    530    443    175    180      0
        98    262    176    444    437    522    183    446    102    192
       586    626    449    633    504    447    288    197    452    543
 31    874    916   1054   1039    733    548    453    598    496    619
       797    820    574    721    369    460    277    470    691    723
       725    630    672    492    533    445    345    273    174     98
         0    360    275    542    535    447    177    348      4    186
       487    528    351    534    406    349    190     99    354    444
 32    566    535    673    843    625    440    345    489    387    630
       689    712    433    267    261    345    169    362    583    615
       617    702    564    668    425    519    620    346    442    262
       360      0    339    182    174    260    433    358    364    454
       663    804    613    895    766    712    551    459    459    550
 33    652    622    760    929    720    535    440    584    483    605
       784    807    520    353    356    432    264    457    678    710
       712    905    659    767    520    720    619    260    356    176
       275    339      0    269    164    164    338    263    279    368
       762    803    626    809    681    623    465    373    364    455
 34    384    353    491    661    703    629    724    783    570   1067
      1126   1303    251     85    443    163    351    544    765    797
       799    884    746    850    607    701    885    528    624    444
       542    182    269      0    105    190    363    288    632    636
       845   1069    796   1075    947    889    731    639    389    480
 35    488    458    596    765    808    734    519    664    562   1171
      1230   1408    356    189    435    267    343    537    757    789
       792    876    738    928    600    694    781    520    616    437
       535    174    164    105      0     85    259    183    528    628
       837    964    787    970    842    785    626    535    285    375
 36    573    543    681    850    893    819    604    749    647   1257
      1315   1493    441    274    520    353    428    622    842    874
       877    981    823    843    685    796    696    605    620    522
       447    260    164    190     85      0    174     98    443    632
       838    879    702    885    757    700    541    449    200    290
 37    747    716    855   1024    817    633    538    682    580    703
       882    905    614    448    454    526    362    555    776    808
       892    807    757    669    618    622    521    358    258    183
       177    433    338    363    259    174      0    164    181    270
       664    705    528    711    583    525    367    275    265    356
 38    672    641    779    949    991    917    802    946    844   1355
      1414   1165    539    373    718    451    626    819    940   1069
       968    883    922    745    792    698    597    622    522    446
       348    358    263    288    183     98    164      0    344    534
       740    781    604    787    659    601    443    351    101    192
 39    878    920   1058   1043    737    552    457    602    500    623
       801    824    578    717    373    464    281    475    695    727
       729    626    676    488    537    441    341    277    178    102
         4    364    279    632    528    443    181    344      0    190
       483    524    347    530    402    345    186     94    350    440
 40    967   1010   1148   1132    826    642    547    691    677    554
       613    636    668    720    463    553    371    506    507    539
       624    539    488    213    260    166    165    333     12    192
       186    454    368    636    628    632    270    534    190      0
       208    437    158    443    315    257    319    284    539    630
 41   1175   1217   1355   1340   1034    851    756    683    655    532
       564    419    877    929    672    762    580    484    456    322
       221    137    466      5    238    143    143    311    220    586
       487    663    762    845    837    838    664    740    483    208
         0    135    136    233    257    235    297    490    745    836
 42   1385   1427   1565   1549   1243   1169   1265    824    796    673
       529    385   1103   1154    898    988    806    625    421    288
       187    102    424    130    467    373    272    540    449    626
       528    804    803   1069    964    879    705    781    524    437
       135      0    278     99    122    276    338    531    786    877
 43   1126   1168   1306   1291    985    802    706    634    605    483
       542    663    828    880    622    713    530    435    436    566
       465    380    417    141    188     94      7    262    170    449
       351    613    626    796    787    702    528    604    347    158
       136    278      0    284    156     99    161    354    609    700
 44   1483   1525   1663   1648   1342   1268    988    918    890    767
       628    483   1109   1160    904    994    812    719    520    386
       285    200    523    228    473    379    278    546    455    633
       534    895    809   1075    970    885    711    787    530    443
       233     99    284      0    128    282    344    537    792    883
 45   1282   1324   1462   1445   1139    954    859    790    762    639
       651    507    980   1031    775    866    683    591    543    410
       309    224    546    252    345    250    150    418    327    504
       406    766    681    947    842    757    583    659    402    315
       257    122    156    128      0    154    216    409    664    755
 46   1225   1267   1405   1389   1084    897    802    732    704    582
       640    660    923    974    718    808    626    533    534    564
       463    378    516    240    287    193     92    361    269    447
       349    712    623    889    785    700    525    601    345    257
       235    276     99    282    154      0    158    352    607    697
 47   1064   1106   1245   1229    923    739    644    788    766    644
       703    723    765    816    560    650    468    595    597    626
       525    440    578    302    349    255    154    423    331    288
       190    551    465    731    626    541    367    443    186    319
       297    338    161    344    216    158      0    193    448    539
 48    972   1014   1153   1137    831    647    552    696    594    717
       896    919    673    724    468    558    376    569    790    822
       718    633    771    495    632    448    348    372    272    197
        99    459    373    639    535    449    275    351     94    284
       490    531    354    537    409    352    193      0    357    447
 49    773    742    881   1050   1092    902    807    951    850   1456
      1515   1171    640    474    723    552    631    824   1042   1074
       973    888   1023    750    798    703    603    627    527    452
       354    459    364    389    285    200    265    101    350    539
       745    786    609    792    664    607    448    357      0     91
 50    864    833    971   1140   1183    993    898   1042    940   1547
      1606   1262    731    564    814    643    722    915   1132   1165
      1064    979   1114    841    888    794    693    718    618    543
       444    550    455    480    375    290    356    192    440    630
       836    877    700    883    755    697    539    447     91      0
;

# General Waste Demand (kilograms)
param general_demand :=
    1      15
    2      20
    3       0
    4      40
    5     170
    6       5
    7      24
    8     120
    9      60
   10      16
   11      30
   12       8
   13       7
   14       2
   15      19
   16      10
   17      17
   18      10
   19      15
   20      11
   21       3
   22       3
   23      21
   24      18
   25      12
   26      20
   27      10
   28      19
   29      23
   30      24
   31      22
   32      15
   33      16
   34       3
   35       2
   36       5
   37      21
   38      17
   39      15
   40      25
   41      20
   42       3
   43       8
   44       8
   45      22
   46      16
   47      30
   48      19
   49      14
   50       0   # Depot has no waste
;

# Recyclable Waste Demand (kilograms)
param recycle_demand :=
    1       5
    2       0
    3       0
    4       4
    5      12
    6       1
    7       4
    8       6
    9       5
   10       1
   11       1
   12       0
   13       0
   14       0
   15       3
   16       0
   17       2
   18       0
   19       0
   20       0
   21       0
   22       0
   23       4
   24       0
   25       0
   26       3
   27       0
   28       0
   29       3
   30       5
   31       3
   32       0
   33       0
   34       0
   35       0
   36       0
   37       0
   38       0
   39       4
   40       3
   41       3
   42       0
   43       0
   44       0
   45       0
   46       0
   47       5
   48       3
   49       2
   50       0   # Depot has no waste
;

# Vehicle Capacity - General Waste (kilograms)
param general_capacity :=
  A 2000
  B 2000
  C 2000
;

# Vehicle Capacity - Recyclable Waste (kilograms)
param recycle_capacity :=
  A 200
  B 200
  C 200
;

# Fixed Cost per Vehicle (THB per vehicle)
param fixed_cost :=
  A 2400
  B 2400
  C 2400
;

# Fuel Cost per kilometer (THB per km)
param fuel_cost_per_km :=
  A 8
  B 8
  C 9
;

# Maximum number of vehicles available
param num_vehicles := 12;

# End of data file
